1,Ba Đình,Quận,1
2,Hoàn Kiếm,Quận,1
3,Tây Hồ,Quận,1
4,Long Biên,Quận,1
5,Cầu Giấy,Quận,1
6,Đống Đa,Quận,1
7,Hai Bà Trưng,Quận,1
8,Hoàng Mai,Quận,1
9,Thanh Xuân,Quận,1
16,Sóc Sơn,Huyện,1
17,Đông Anh,Huyện,1
18,Gia Lâm,Huyện,1
19,Nam Từ Liêm,Quận,1
20,Thanh Trì,Huyện,1
21,Bắc Từ Liêm,Quận,1
250,Mê Linh,Huyện,1
268,Hà Đông,Quận,1
269,Sơn Tây,Thị xã,1
271,Ba Vì,Huyện,1
272,Phúc Thọ,Huyện,1
273,Đan Phượng,Huyện,1
274,Hoài Đức,Huyện,1
275,Quốc Oai,Huyện,1
276,Thạch Thất,Huyện,1
277,Chương Mỹ,Huyện,1
278,Thanh Oai,Huyện,1
279,Thường Tín,Huyện,1
280,Phú Xuyên,Huyện,1
281,Ứng Hòa,Huyện,1
282,Mỹ Đức,Huyện,1
24,Hà Giang,Thành phố,2
26,Đồng Văn,Huyện,2
27,Mèo Vạc,Huyện,2
28,Yên Minh,Huyện,2
29,Quản Bạ,Huyện,2
30,Vị Xuyên,Huyện,2
31,Bắc Mê,Huyện,2
32,Hoàng Su Phì,Huyện,2
33,Xín Mần,Huyện,2
34,Bắc Quang,Huyện,2
35,Quang Bình,Huyện,2
40,Cao Bằng,Thành phố,4
42,Bảo Lâm,Huyện,4
43,Bảo Lạc,Huyện,4
44,Thông Nông,Huyện,4
45,Hà Quảng,Huyện,4
46,Trà Lĩnh,Huyện,4
47,Trùng Khánh,Huyện,4
48,Hạ Lang,Huyện,4
49,Quảng Uyên,Huyện,4
50,Phục Hoà,Huyện,4
51,Hoà An,Huyện,4
52,Nguyên Bình,Huyện,4
53,Thạch An,Huyện,4
58,Bắc Kạn,Thành phố,6
60,Pác Nặm,Huyện,6
61,Ba Bể,Huyện,6
62,Ngân Sơn,Huyện,6
63,Bạch Thông,Huyện,6
64,Chợ Đồn,Huyện,6
65,Chợ Mới,Huyện,6
66,Na Rì,Huyện,6
70,Tuyên Quang,Thành phố,8
71,Lâm Bình,Huyện,8
72,Nà Hang,Huyện,8
73,Chiêm Hóa,Huyện,8
74,Hàm Yên,Huyện,8
75,Yên Sơn,Huyện,8
76,Sơn Dương,Huyện,8
80,Lào Cai,Thành phố,10
82,Bát Xát,Huyện,10
83,Mường Khương,Huyện,10
84,Si Ma Cai,Huyện,10
85,Bắc Hà,Huyện,10
86,Bảo Thắng,Huyện,10
87,Bảo Yên,Huyện,10
88,Sa Pa,Huyện,10
89,Văn Bàn,Huyện,10
94,Điện Biên Phủ,Thành phố,11
95,Mường Lay,Thị xã,11
96,Mường Nhé,Huyện,11
97,Mường Chà,Huyện,11
98,Tủa Chùa,Huyện,11
99,Tuần Giáo,Huyện,11
100,Điện Biên,Huyện,11
101,Điện Biên Đông,Huyện,11
102,Mường Ảng,Huyện,11
103,Nậm Pồ,Huyện,11
105,Lai Châu,Thành phố,12
106,Tam Đường,Huyện,12
107,Mường Tè,Huyện,12
108,Sìn Hồ,Huyện,12
109,Phong Thổ,Huyện,12
110,Than Uyên,Huyện,12
111,Tân Uyên,Huyện,12
112,Nậm Nhùn,Huyện,12
116,Sơn La,Thành phố,14
118,Quỳnh Nhai,Huyện,14
119,Thuận Châu,Huyện,14
120,Mường La,Huyện,14
121,Bắc Yên,Huyện,14
122,Phù Yên,Huyện,14
123,Mộc Châu,Huyện,14
124,Yên Châu,Huyện,14
125,Mai Sơn,Huyện,14
126,Sông Mã,Huyện,14
127,Sốp Cộp,Huyện,14
128,Vân Hồ,Huyện,14
132,Yên Bái,Thành phố,15
133,Nghĩa Lộ,Thị xã,15
135,Lục Yên,Huyện,15
136,Văn Yên,Huyện,15
137,Mù Căng Chải,Huyện,15
138,Trấn Yên,Huyện,15
139,Trạm Tấu,Huyện,15
140,Văn Chấn,Huyện,15
141,Yên Bình,Huyện,15
148,Hòa Bình,Thành phố,17
150,Đà Bắc,Huyện,17
151,Kỳ Sơn,Huyện,17
152,Lương Sơn,Huyện,17
153,Kim Bôi,Huyện,17
154,Cao Phong,Huyện,17
155,Tân Lạc,Huyện,17
156,Mai Châu,Huyện,17
157,Lạc Sơn,Huyện,17
158,Yên Thủy,Huyện,17
159,Lạc Thủy,Huyện,17
164,Thái Nguyên,Thành phố,19
165,Sông Công,Thành phố,19
167,Định Hóa,Huyện,19
168,Phú Lương,Huyện,19
169,Đồng Hỷ,Huyện,19
170,Võ Nhai,Huyện,19
171,Đại Từ,Huyện,19
172,Phổ Yên,Thị xã,19
173,Phú Bình,Huyện,19
178,Lạng Sơn,Thành phố,20
180,Tràng Định,Huyện,20
181,Bình Gia,Huyện,20
182,Văn Lãng,Huyện,20
183,Cao Lộc,Huyện,20
184,Văn Quan,Huyện,20
185,Bắc Sơn,Huyện,20
186,Hữu Lũng,Huyện,20
187,Chi Lăng,Huyện,20
188,Lộc Bình,Huyện,20
189,Đình Lập,Huyện,20
193,Hạ Long,Thành phố,22
194,Móng Cái,Thành phố,22
195,Cẩm Phả,Thành phố,22
196,Uông Bí,Thành phố,22
198,Bình Liêu,Huyện,22
199,Tiên Yên,Huyện,22
200,Đầm Hà,Huyện,22
201,Hải Hà,Huyện,22
202,Ba Chẽ,Huyện,22
203,Vân Đồn,Huyện,22
204,Hoành Bồ,Huyện,22
205,Đông Triều,Thị xã,22
206,Quảng Yên,Thị xã,22
207,Cô Tô,Huyện,22
213,Bắc Giang,Thành phố,24
215,Yên Thế,Huyện,24
216,Tân Yên,Huyện,24
217,Lạng Giang,Huyện,24
218,Lục Nam,Huyện,24
219,Lục Ngạn,Huyện,24
220,Sơn Động,Huyện,24
221,Yên Dũng,Huyện,24
222,Việt Yên,Huyện,24
223,Hiệp Hòa,Huyện,24
227,Việt Trì,Thành phố,25
228,Phú Thọ,Thị xã,25
230,Đoan Hùng,Huyện,25
231,Hạ Hoà,Huyện,25
232,Thanh Ba,Huyện,25
233,Phù Ninh,Huyện,25
234,Yên Lập,Huyện,25
235,Cẩm Khê,Huyện,25
236,Tam Nông,Huyện,25
237,Lâm Thao,Huyện,25
238,Thanh Sơn,Huyện,25
239,Thanh Thuỷ,Huyện,25
240,Tân Sơn,Huyện,25
243,Vĩnh Yên,Thành phố,26
244,Phúc Yên,Thị xã,26
246,Lập Thạch,Huyện,26
247,Tam Dương,Huyện,26
248,Tam Đảo,Huyện,26
249,Bình Xuyên,Huyện,26
251,Yên Lạc,Huyện,26
252,Vĩnh Tường,Huyện,26
253,Sông Lô,Huyện,26
256,Bắc Ninh,Thành phố,27
258,Yên Phong,Huyện,27
259,Quế Võ,Huyện,27
260,Tiên Du,Huyện,27
261,Từ Sơn,Thị xã,27
262,Thuận Thành,Huyện,27
263,Gia Bình,Huyện,27
264,Lương Tài,Huyện,27
288,Hải Dương,Thành phố,30
290,Chí Linh,Thị xã,30
291,Nam Sách,Huyện,30
292,Kinh Môn,Huyện,30
293,Kim Thành,Huyện,30
294,Thanh Hà,Huyện,30
295,Cẩm Giàng,Huyện,30
296,Bình Giang,Huyện,30
297,Gia Lộc,Huyện,30
298,Tứ Kỳ,Huyện,30
299,Ninh Giang,Huyện,30
300,Thanh Miện,Huyện,30
303,Hồng Bàng,Quận,31
304,Ngô Quyền,Quận,31
305,Lê Chân,Quận,31
306,Hải An,Quận,31
307,Kiến An,Quận,31
308,Đồ Sơn,Quận,31
309,Dương Kinh,Quận,31
311,Thuỷ Nguyên,Huyện,31
312,An Dương,Huyện,31
313,An Lão,Huyện,31
314,Kiến Thuỵ,Huyện,31
315,Tiên Lãng,Huyện,31
316,Vĩnh Bảo,Huyện,31
317,Cát Hải,Huyện,31
318,Bạch Long Vĩ,Huyện,31
323,Hưng Yên,Thành phố,33
325,Văn Lâm,Huyện,33
326,Văn Giang,Huyện,33
327,Yên Mỹ,Huyện,33
328,Mỹ Hào,Huyện,33
329,Ân Thi,Huyện,33
330,Khoái Châu,Huyện,33
331,Kim Động,Huyện,33
332,Tiên Lữ,Huyện,33
333,Phù Cừ,Huyện,33
336,Thái Bình,Thành phố,34
338,Quỳnh Phụ,Huyện,34
339,Hưng Hà,Huyện,34
340,Đông Hưng,Huyện,34
341,Thái Thụy,Huyện,34
342,Tiền Hải,Huyện,34
343,Kiến Xương,Huyện,34
344,Vũ Thư,Huyện,34
347,Phủ Lý,Thành phố,35
349,Duy Tiên,Huyện,35
350,Kim Bảng,Huyện,35
351,Thanh Liêm,Huyện,35
352,Bình Lục,Huyện,35
353,Lý Nhân,Huyện,35
356,Nam Định,Thành phố,36
358,Mỹ Lộc,Huyện,36
359,Vụ Bản,Huyện,36
360,Ý Yên,Huyện,36
361,Nghĩa Hưng,Huyện,36
362,Nam Trực,Huyện,36
363,Trực Ninh,Huyện,36
364,Xuân Trường,Huyện,36
365,Giao Thủy,Huyện,36
366,Hải Hậu,Huyện,36
